indicator,year,n,mean_wt_resid,se_wt_resid
BSAI Fishery: Large females >= 75 cm,1999,125,-0.05060340106652772,0.018652353228790657
BSAI Fishery: Large females >= 75 cm,2000,143,-7.226092927849337e-4,0.012731437174446697
BSAI Fishery: Large females >= 75 cm,2001,90,-0.020109149441366197,0.013175839156229214
BSAI Fishery: Large females >= 75 cm,2002,151,-0.029109802666393413,0.017215062127182955
BSAI Fishery: Large females >= 75 cm,2003,172,0.002158236830015304,0.00935228259067405
BSAI Fishery: Large females >= 75 cm,2004,142,0.014774663109324723,0.01043401482511084
BSAI Fishery: Large females >= 75 cm,2005,62,0.0010099686085053617,0.02067881786273858
BSAI Fishery: Large females >= 75 cm,2006,64,-0.08326487651522736,0.027679575427830422
BSAI Fishery: Large females >= 75 cm,2007,94,-0.038104618952009825,0.016016626024717068
BSAI Fishery: Large females >= 75 cm,2008,137,-0.03064102439625159,0.010735160685572304
BSAI Fishery: Large females >= 75 cm,2009,335,-0.031944391566437094,0.006680041982917803
BSAI Fishery: Large females >= 75 cm,2010,225,-0.012358386288732655,0.009192656418532823
BSAI Fishery: Large females >= 75 cm,2011,152,0.009548371826424573,0.010894871932348347
BSAI Fishery: Large females >= 75 cm,2012,240,0.024834008855295082,0.008656994249790936
BSAI Fishery: Large females >= 75 cm,2013,459,0.021297073825102292,0.006093923359510629
BSAI Fishery: Large females >= 75 cm,2014,125,-0.03168953916659908,0.011683521729815603
BSAI Fishery: Large females >= 75 cm,2015,221,-0.03973223116346422,0.010955534636556515
BSAI Fishery: Large females >= 75 cm,2016,55,-0.010387411450291293,0.014569434395693345
BSAI Fishery: Large females >= 75 cm,2017,1,NA,NA
BSAI Fishery: Large females >= 75 cm,2018,3,NA,NA
BSAI Fishery: Large females >= 75 cm,2019,1,NA,NA
BSAI Fishery: Large females >= 75 cm,2021,1,NA,NA
GOA Fishery: Large females >= 75 cm,1999,317,0.01423744312073718,0.008075770332111596
GOA Fishery: Large females >= 75 cm,2000,473,0.040804096739487164,0.006243620127857499
GOA Fishery: Large females >= 75 cm,2001,416,-0.002450478937939808,0.008736975696526348
GOA Fishery: Large females >= 75 cm,2002,342,0.02999233949694883,0.007366222742475522
GOA Fishery: Large females >= 75 cm,2003,334,-0.001736913618309982,0.00793526060361509
GOA Fishery: Large females >= 75 cm,2004,267,-0.01865518239790612,0.010102145959107764
GOA Fishery: Large females >= 75 cm,2005,316,-0.006269542333685393,0.00902116731358033
